q,expect_q,nn_sim_q,nn_stan_q,nn_score,sm_sim_q,sm_stan_q,sm_score,new_stan_q
我 预约 商品 维修 怎么 问时间 没有 去 人呢,咨询维保进度,怎么 预约 维修,如何预约维修,1.0,我 商品 故障 怎么 维修,如何预约维修,0.48,如何预约维修
新安 装 商品 不 制冷 要 找 谁,如何预约维修,商品 不 制冷 怎么,空调不制冷怎么办？,1.0,商品 不 制冷,申请售后,0.45,申请售后
我 只是 有点 好奇 苏宁 这样 售后 不会 倒闭,我要投诉你,你 卖 不会 是 非正品 我 到 怎么 是 这样,收到怎么是二手的有使用痕迹,1.0,我 苏宁 买 商品 售后 怎么,如何预约维修,0.43,如何预约维修
我 燃气灶 故障 要 维修 维修 人员 联系我 但是 我 发票 不知道 是 没有 给我 还是 丢 失 现在 怎么,保修需要发票吗？,我 申请 维修 但是 发票 没有,发票丢失或没有保修卡支持保修吗,1.0,我 维修 但 我 发票 丢 怎么,发票丢失或没有保修卡支持保修吗,0.46,发票丢失或没有保修卡支持保修吗
延保 是 怎么,延保服务都可以保哪些问题的,延保 是,延保如何购买,1.0,怎么 延保,延保如何购买,0.76,延保如何购买
我 发票 和 保修 单 丢 果 故障 怎么,保修需要发票吗？,保修 手机 发票 丢 能 保修,发票丢失或没有保修卡支持保修吗,1.0,保修 手机 发票 丢 能 保修,发票丢失或没有保修卡支持保修吗,0.51,发票丢失或没有保修卡支持保修吗
退换货 申请,申请退换货,申请 退换货,申请换货,1.0,申请 退换货,申请换货,1.0,申请换货
我 要 退换货,如何申请退货,我 要 退换货,申请换货,1.0,我 要 退换货,申请换货,1.0,申请换货
取消 订单,可以重新下单吗,怎么 取消 订单,怎么取消订单,1.0,怎么 取消 订单,怎么取消订单,0.81,怎么取消订单
你 说 能 退换货 不,申请退换失败怎么办,你 退换货 差 不,怎么申请价保,1.0,你 能 退换货,申请退换货,0.81,申请退换货
出现 故障 换,商品是30天退货，365天换货吗,样机 故障 能 换,申请退换货,1.0,故障 能 换,申请退换货,0.68,申请退换货
是 故障,质量问题无忧退换是什么,是 故障 怎么 解决,如何预约维修,1.0,故障,如何预约维修,0.81,如何预约维修
退换货 不了,申请退换失败怎么办,退换货 说 缺货 是 换 不了,提交换货，显示无货怎么办,1.0,延保 退换货 不了,延保怎么退,0.7,延保怎么退
售后,申请售后,售后,如何预约维修,1.0,售后,如何预约维修,1.0,如何预约维修
东西 没收到,商品送错或漏送怎么办,东西 没收到 说 签收,为什么未收货却显示送货完成了,1.0,东西 没收到 说 签收,为什么未收货却显示送货完成了,0.6,为什么未收货却显示送货完成了
怎么 修改 退换货 问地点,如何修改退货地址？,怎么 修改 退换货 问地点,怎么更改退换货地址电话和时间,1.0,怎么 修改 退换货 问地点,怎么更改退换货地址电话和时间,1.0,怎么更改退换货地址电话和时间
故障 能 退换货,商品是30天退货，365天换货吗,样机 故障 能 退换货,申请退换货,1.0,样机 故障 能 退换货,申请退换货,0.89,申请退换货
充 错 手机号,错充手机号码怎么办,我 手机号 留 错,怎么修改收货人地址、电话,1.0,话费 充 错,流量充值错误，怎么办,0.53,流量充值错误，怎么办
开 运费 险 流程 是什么,如何开通运费险？,是什么 运费 险,什么是运费险,1.0,是什么 运费 险,什么是运费险,0.68,什么是运费险
有 运费 险,如何开通运费险？,你 有 运费 险,什么是运费险,1.0,有 运费 险,什么是运费险,1.0,什么是运费险
我 买 贵,怎么申请价保,在吗 我,我问一下,0.992,我,我问一下,0.55,我问一下
保价 问时间,怎么申请价保,问时间 保价,30天价保怎么参加？,1.0,问时间 保价,30天价保怎么参加？,1.0,30天价保怎么参加？
我 怎么 安装,可以自行安装吗,我 安装 怎么 申请,怎么预约安装,1.0,我 怎么 安装,怎么预约安装,1.0,怎么预约安装
我 安装 怎么 申请,如何预约安装,我 安装 怎么 申请,怎么预约安装,1.0,我 安装 怎么 申请,怎么预约安装,1.0,怎么预约安装
找 谁 开 运费 险,如何开通运费险？,是什么 运费 险,什么是运费险,1.0,有 运费 险,什么是运费险,0.52,什么是运费险
换 联系 联系,如何更改安装时间、地址、电话,更改 联系,怎么修改收货人地址、电话,1.0,更改 联系,怎么修改收货人地址、电话,1.0,怎么修改收货人地址、电话
安装 找 谁,如何预约安装,安装 找 谁,怎么预约安装,1.0,安装 找 谁,怎么预约安装,1.0,怎么预约安装
说 缺货 怎么,怎么提示没有货,怎么 说 缺货,商品是否有货,1.0,怎么 说 缺货,商品是否有货,1.0,商品是否有货
反馈 问题 客服,转人工,反馈 hp 打印机 缺少 硒鼓 问题,商品缺少配件怎么办,1.0,商品 出现 问题 客服 不管 怎么,申请售后,0.4,商品缺少配件怎么办
发票 丢 能 补,没有发票或保修卡支持保修吗,发票 丢 能 补 打,发票不见了能补打吗,1.0,发票 丢 能 补 一张,发票丢失或没有保修卡支持保修吗,0.91,发票丢失或没有保修卡支持保修吗
商家 反馈 顾客 运费 险 没有 到 是 为什么,商家反馈，顾客运费险没有收到？,运费 险 退款 到 问地点,商品退货后有运费险怎么退,1.0,其他 商家 商品 有 运费 险,什么是运费险,0.48,什么是运费险
是什么 退换货 预约,退货预约怎么操作？,预约 退换货,申请退换货,1.0,预约 退换货,申请退换货,0.76,申请退换货
退换货 预约 介绍,退货预约怎么操作？,预约 理财 能 退换货,理财预约还没有成功,1.0,预约 退换货,申请退换货,0.76,申请退换货
订单 退款 成功 评价 会 消失,商品评价了，然后申请退货，这种评价不会自动删除么？,订单 我 交易 成功,如何知道在线支付是否成功,1.0,没有 成功 订单 3426134411 退款 到 问地点,退款什么时候到账,0.44,退款什么时候到账
发票 丢 能 修,没有发票或保修卡支持保修吗,发票 丢 能 补 打,发票不见了能补打吗,1.0,发票 没了 能 修,发票丢失或没有保修卡支持保修吗,0.72,发票丢失或没有保修卡支持保修吗
拒收 款 怎么 退换货,拒收后如何退款,拒收 退换货,申请退换货,1.0,拒收 退换货,申请退换货,0.6,申请退换货
发票 没了 怎么 保修,没有发票或保修卡支持保修吗,发票 没了 怎么 保修,发票丢失或没有保修卡支持保修吗,1.0,发票 没了 怎么 保修,发票丢失或没有保修卡支持保修吗,1.0,发票丢失或没有保修卡支持保修吗
卖家 发 错 货,退换货有取件费用吗,发 错 货 怎么,商品送错或漏送怎么办,1.0,发 错 货 怎么,商品送错或漏送怎么办,0.58,商品送错或漏送怎么办
怎么 物流 单 号,查询送货动态,没有 物流 单 号,什么时候送,1.0,怎么 下 物流 作业 单 号,查询送货,0.74,查询送货
买 没支付 怎么 修改 运费,未支付订单无法修改运费怎么处理？,买 怎么 有 运费,运费多少,1.0,买 怎么 有 运费,运费多少,0.61,运费多少
我 价格 退换货 哪,退款退到哪,我 价格 问时间 退换货,退款什么时候到账,1.0,我 价格 问时间 退换货,退款什么时候到账,0.65,退款什么时候到账
东西 到哪,查询送货动态,我 东西 到哪,查询送货,1.0,我 东西 到哪,查询送货,0.81,查询送货
都 快 一个月 没有 到账,退款什么时候到账,都 快 一个月 没有 到账,多久了怎么还没退款,1.0,都 快 一个月 没有 到账,多久了怎么还没退款,1.0,多久了怎么还没退款
未 支付 订单 能 修改 运费,未支付订单无法修改运费怎么处理？,修改 订单 物流 时 能 修改,怎么更改送货时间,0.6940000000000001,支付 能 修改,支付方式是否可以修改,0.46,支付方式是否可以修改
我 订单 出 库,查询送货动态,查查 我 订单 出 库,查询送货,1.0,查查 我 订单 出 库,查询送货,0.85,查询送货
我 预约 安装 师傅 怎么 没有 来,安装为什么一直没来呢,们 预约 安装 师傅 问时间 来,什么时候上门安装,1.0,我 已经 预约 安装 师傅 几点 来,什么时候上门安装,0.74,什么时候上门安装
安装 问地点 填 错 怎么 更改,如何更改安装时间、地址、电话,问地点 错 怎么 更改,怎么修改收货人地址、电话,1.0,问地点 错 怎么 更改,怎么修改收货人地址、电话,0.62,怎么修改收货人地址、电话
我 要 更改 在 问时间 安 装,如何更改安装时间、地址、电话,我 要 问时间 安装,怎么预约安装,1.0,我 要 问时间 安装,怎么预约安装,0.72,怎么预约安装
师傅 来 安装 时 拨 打 联系,如何更改安装时间、地址、电话,我 要 安装 时 打 哪个 联系,怎么预约安装,1.0,联系 安装 师傅,怎么预约安装,0.63,怎么预约安装
装 商品 要 在 墙壁 打孔,安装需要打孔怎么办,安装 商品 要 花钱,安装如何收费,1.0,商品 要 安装,怎么预约安装,0.59,怎么预约安装
我 要 自助 安装 能 退换货 安装费,可以自行安装吗,安装 安装费 要 多少,安装如何收费,1.0,你 安装 是 要 安装费,安装如何收费,0.57,安装如何收费
买 商品 有 安装 服务,提供安装服务吗,商品 有 安装,怎么预约安装,1.0,商品 有 安装,怎么预约安装,0.69,怎么预约安装
买 智能 锁 是 免费 安装,提供安装服务吗,买 免费 上门 安装,安装如何收费,1.0,买 免费 上门 安装,安装如何收费,0.62,安装如何收费
是 苏 宁安 装 还是 商家 安装,提供安装服务吗,安装 是 商家 安装 还是 苏 宁安 装,怎么预约安装,1.0,安装 是 商家 安装 还是 苏 宁安 装,怎么预约安装,1.0,怎么预约安装
安装 师傅 说 要 收 打孔费,安装多收费怎么办,为什么 师傅 说 电视机 安装 要 收 30,安装如何收费,1.0,为什么 师傅 说 电视机 安装 要 收 30,安装如何收费,0.67,安装如何收费
我 问时间 安装 怎么 更改 安装 时 问地点 联系 售后 安装 有 防盗 窗 能 安装,提供安装服务吗,怎么 更改 安装 时 问地点 联系,如何更改安装时间、地址、电话,1.0,告诉 我 怎么 更改 安装 联系,如何更改安装时间、地址、电话,0.56,如何更改安装时间、地址、电话
当时 买 能 当时 安装,提供安装服务吗,买 前 预约 安装 能,怎么预约安装,1.0,能 买 安装 时,怎么预约安装,0.77,怎么预约安装
收费 标准,安装如何收费,至惠套餐2.0 收费 档次 收费 标准,至惠套餐2.0收费档次及收费标准,1.0,至惠套餐2.0 收费 什么 标准,至惠套餐2.0收费档次及收费标准,0.6,至惠套餐2.0收费档次及收费标准
你 安装费 怎么 高,安装乱收费怎么办,安装费 怎么,安装如何收费,1.0,安装费 怎么,安装如何收费,0.64,安装如何收费
实际 收费 和 你 客服 说 不一样,安装乱收费怎么办,怎么 和 你 网页 收费 标准 不一样,安装如何收费,1.0,怎么 和 你 网页 收费 标准 不一样,安装如何收费,0.47,安装如何收费
我 商品 没有 安装 怎么 订单 说 安装 完成,安装为什么一直没来呢,货 没有 到 怎么 说 订单 完成,为什么未收货却显示送货完成了,1.0,我 商品 怎么 没有 人 安装,怎么预约安装,0.57,怎么预约安装
刚 预约 安装 问时间 来,什么时候上门安装,预约 时 来 安装,怎么预约安装,1.0,能 预约 下 问时间 来 安装,怎么预约安装,0.77,怎么预约安装
买 问时间 给 安装,什么时候上门安装,到 问时间 给 安装,怎么预约安装,1.0,问时间 买 问时间 物流 安装,什么时候送,0.72,什么时候送
我 问时间 能 去 安装,什么时候上门安装,能 六号 去 物流 安装,怎么预约安装,1.0,我 问时间 能 安排 安装,怎么预约安装,0.72,怎么预约安装
燃气 商品 带 安装,提供安装服务吗,是 物流 带 安装,送货安装是否同步进行,1.0,我 商品 安装,怎么预约安装,0.53,怎么预约安装
能 买 手机 装 好 常用 软件,电脑是否有调试服务,垃圾 软件,苏宁垃圾,1.0,我 手机 买 好 现在 能 买 延保,怎么买延保,0.41,怎么买延保
我 安装 能 退换货 安装费,可以自行安装吗,安装 安装费 要 多少,安装如何收费,1.0,安装 安装费 要 多少,安装如何收费,0.53,安装如何收费
不能 安装 怎么,无法安装怎,不能 安装 怎么,无法安装怎么办,1.0,不能 安装 怎么,无法安装怎么办,1.0,无法安装怎么办
商品 没有 装 好,安装作业技能差,我 商品 快点 安排 给我 装 好,怎么预约安装,1.0,商品 是 苏 宁安 装 是,怎么预约安装,0.47,怎么预约安装
买 商品 不会 装 怎么,提供安装服务吗,不会 买 非正品 机器,收到怎么是二手的有使用痕迹,1.0,我 商品 不 装 能,如何更改安装时间、地址、电话,0.48,如何更改安装时间、地址、电话
商家 安装 怎么 申请,提供安装服务吗,商家 安装 怎么 申请,怎么预约安装,1.0,商家 安装 怎么 申请,怎么预约安装,1.0,怎么预约安装
你 负责 安装,提供安装服务吗,你 负责 安装,怎么预约安装,1.0,你 负责 安装,怎么预约安装,1.0,怎么预约安装
你 有 安装 服务,提供安装服务吗,你 安装 不 有 打孔 服务,安装需要打孔怎么办,1.0,你 安装 不 有 打孔 服务,安装需要打孔怎么办,0.88,安装需要打孔怎么办
安装 商品 怎么 收费 贵,安装乱收费怎么办,商品 高空作业 收费 贵,安装如何收费,1.0,安装 怎么 收费,安装如何收费,0.63,安装如何收费
安装 怎么 收 价格,安装乱收费怎么办,安装 价格,安装如何收费,1.0,安装 价格,安装如何收费,0.85,安装如何收费
你 收费 什么 标准,安装乱收费怎么办,怎么 和 你 网页 收费 标准 不一样,安装如何收费,1.0,至惠套餐2.0 收费 什么 标准,至惠套餐2.0收费档次及收费标准,0.66,至惠套餐2.0收费档次及收费标准
问时间 午 10 时 30分 左右 安排 装机 8 时 30分 左右 物流,怎么预约安装,能 安排 问时间 物流,什么时候送,1.0,安排 问时间 物流,怎么更改送货时间,0.47,怎么更改送货时间
问时间 能 来 安装,什么时候上门安装,能 问时间 来 安装,怎么预约安装,1.0,能 问时间 来 安装,怎么预约安装,1.0,怎么预约安装
我 订单 是否 你 安装,怎么预约安装,我 订单 是 负责 安装,提供安装服务吗,1.0,我 订单 是 0元 安装,怎么参加0元安装,0.63,怎么参加0元安装
配件 没有 装 不了 怎么,无法安装怎么办,商品 缺少 配件 怎么,商品缺少配件怎么办,1.0,配件 怎么 不 齐,商品缺少配件怎么办,0.56,商品缺少配件怎么办
延 3 天安 装 能,如何更改安装时间、地址、电话,能 预约 过 多少 天安 装,怎么预约安装,1.0,能 送来 装,送货安装是否同步进行,0.41,送货安装是否同步进行
要 收费 你 说 免费 安装 不是 骗人,安装如何收费,你 免费 安装 是 骗人,安装乱收费怎么办,1.0,你 免费 安装 是 骗人,安装乱收费怎么办,0.63,安装乱收费怎么办
买 是否 默认 有 安装,怎么预约安装,我 是否 负责 安装,提供安装服务吗,1.0,买 商品 是否 有 配套 安装 服务,提供安装服务吗,0.5,提供安装服务吗
安装 不是 按照 我 要求 怎么,安装作业技能差,不是 安装 师傅 和 我 联系,怎么预约安装,1.0,我 安装 问地点 不是 我 到 问地点,如何更改安装时间、地址、电话,0.45,如何更改安装时间、地址、电话
装 商品 打孔 是 安装 师傅 打,安装需要打孔怎么办,我们 这边 安装 商品 师傅 是 谁,怎么预约安装,1.0,我们 这边 安装 商品 师傅 是 谁,怎么预约安装,0.53,怎么预约安装
我 安装 能 便宜,可以自行安装吗,咱 家 能 便宜,有没有活动，价格能优惠吗,0.0,能 便宜,有没有活动，价格能优惠吗,0.47,有没有活动，价格能优惠吗
我 预约 安装 问时间 能 来,什么时候上门安装,能 预约 下 问时间 来 安装,怎么预约安装,1.0,能 预约 下 问时间 来 安装,怎么预约安装,0.85,怎么预约安装
安装 问时间 能 来,什么时候上门安装,师傅 问时间 问时间 能 来,咨询退换货进度,1.0,能 问时间 来 安装,怎么预约安装,1.0,怎么预约安装
你 有 安装 服务,提供安装服务吗,你 安装 不 有 打孔 服务,安装需要打孔怎么办,1.0,你 安装 不 有 打孔 服务,安装需要打孔怎么办,0.88,安装需要打孔怎么办
你 安装 师傅 能 准时 一点,什么时候上门安装,安装 师傅 没有 一点 素质,安装作业技能差,1.0,安装 师傅 没有 一点 素质,安装作业技能差,0.58,安装作业技能差
这边 急 着 安装 能 快点 来,什么时候上门安装,我 这边 急 着 要 用,为什么还没送到,1.0,现在 能 来 安装,怎么预约安装,0.57,怎么预约安装
安装 有 材料 为什么 要 收 价格,安装乱收费怎么办,我 有 材料 安装 不 收 价格,安装如何收费,1.0,我 有 材料 安装 不 收 价格,安装如何收费,0.74,安装如何收费
安装 打孔 也要 收费,安装乱收费怎么办,商品 底座 安装 也要 收费,安装如何收费,1.0,安装 收费,安装如何收费,0.7,安装如何收费
安装 到底 怎么,无法安装怎么办,到底 什么 能 来 安装,安装为什么一直没来呢,1.0,到底 是 哪个 安装,怎么预约安装,0.6,怎么预约安装
怎么 线 才 用 两三天 电 越 充 越 少了,如何预约维修,是否 第一次 用 完 电 充电 越 久 越 好 才 买 平板电脑,新买的手机、笔记本、平板需要充电多久,1.0,商品 充 不 电,申请售后,0.44,申请售后
退换货 申请,申请退换货,申请 退换货,申请换货,1.0,申请 退换货,申请换货,1.0,申请换货
优惠 什么 限制 条件,满减活动怎么参加,加入 校园 先锋 什么 条件,加入校园先锋有什么条件,1.0,任务 勋章 优惠 奖励 什么 限制,任务勋章有什么奖励,0.44,任务勋章有什么奖励
苹果 商品 能 保价,商品多次降价是否可以多次申请价保,订单 商品 能 保价,怎么申请价保,1.0,订单 商品 能 保价,怎么申请价保,0.53,怎么申请价保
问时间 能 发货,下单多久发货,问时间 能 安排 发货,什么时候送,1.0,问时间 能 发货,什么时候送,1.0,什么时候送
用 银行卡,有哪些支付方式,用 银行卡 安全,在线支付安全吗,1.0,用 银行卡 安全,在线支付安全吗,0.69,在线支付安全吗
满 4580 100 优惠 结束,满减活动怎么参加,满 100 降 50 满 怎么 没有 降,为什么参加满减没有减少,1.0,优惠 结束,活动什么时候开始,0.59,活动什么时候开始
能 用 支付宝,支付宝可以支付吗,没有 支付宝,支持支付宝或微信支付吗,1.0,货到付款 能 用 支付宝,支持货到付款吗,0.63,支持货到付款吗
为什么 微信 支付 不了,支持支付宝或微信支付吗,微信 怎么 支付 不了,微信可以支付吗,1.0,微信 怎么 支付 不了,微信可以支付吗,0.77,微信可以支付吗
怎么 用 任性付,如何使用任性贷,怎么 用 任性付,怎么使用任性付,1.0,怎么 用 任性付,怎么使用任性付,1.0,怎么使用任性付
能 花 分期,有哪些支付方式,能 花 分期,怎么分期付款,1.0,能 花 分期,怎么分期付款,1.0,怎么分期付款
我 手机 是 正品 还是 港版,苹果港版与国产的区别,手机 是 正品 还是,商品是正品么,1.0,手机 是 正品 还是,商品是正品么,0.66,商品是正品么
是 全国联保 三年,保修期是多久,你 是 全国联保,有保修服务吗,1.0,你 是 全国联保,有保修服务吗,0.61,有保修服务吗
买 手机 送 云钻,如何获得云钻,问时间 买 多少 送 多少 云钻,云钻问题咨询,1.0,买 手机 怎么 没有 云钻,云钻问题咨询,0.62,云钻问题咨询
退换货 审核 怎么,退换货申请未通过,要 退换货 审核,咨询退换货进度,1.0,要 退换货 审核,咨询退换货进度,0.77,咨询退换货进度
查 下 oms 单 号,OMS单号查询,没有 物流 单 号,什么时候送,1.0,给我 查 下 单 号,怎么查询订单,0.74,怎么查询订单
我 手机 怎么 一直 没有 到,一直未取货怎么办,查 下 手机 怎么 一直 没有 物流,为什么还没送到,1.0,我 到 手机 怎么 没有 赠品,赠品配送问题,0.58,赠品配送问题
手机 能 用 券,无敌券可以买什么,商家 商品 能 用 股东 券,股东券怎么使用,1.0,商户 商品 能 用 股东 券,股东券怎么使用,0.54,股东券怎么使用
手机 问时间 能 补 货,无货商品何时到货,怎么 到处 都是 在 补 货,商品是否有货,1.0,净化器 库存 不足 问时间 能 补 货,商品是否有货,0.53,商品是否有货
手机 能 连接 到 商品,手机如何投屏到电视上,商品 能 连接 机顶盒,电视支持有线电视或者机顶盒么,1.0,商品 能 连接 机顶盒,电视支持有线电视或者机顶盒么,0.53,电视支持有线电视或者机顶盒么
能 支付宝 支付 不,支付宝可以支付吗,能 用 支付宝 支付,有哪些支付方式,1.0,支付宝 能 支付,支持支付宝或微信支付吗,0.99,支持支付宝或微信支付吗
手机 是什么 系统,商品的功能及包装参数,你 手机 发 是什么 物流,送货用什么快递,0.017,单通 手机 是什么,双卡双待单通是什么意思,0.6,双卡双待单通是什么意思
买 手机 没有 发票 能 保修,没有发票或保修卡支持保修吗,保修 手机 发票 丢 能 保修,发票丢失或没有保修卡支持保修吗,1.0,保修 手机 发票 丢 能 保修,发票丢失或没有保修卡支持保修吗,0.75,发票丢失或没有保修卡支持保修吗
下 错 手机 订单 怎么 删除,为什么删除不了订单,我 在 手机 能 恢复 删除 订单,订单被删除了怎么找回,1.0,怎么 删除 订单,怎么删除订单,0.53,怎么删除订单
我 订单 说 已经 到 实际 为什么 没有 到,为什么还没送到,我 已经 到 为什么 没有 赠品,赠品配送问题,1.0,订单 已经 支付 为什么 说 没有 支付,我的钱怎么没付成功啊,0.58,我的钱怎么没付成功啊
怎么 下 不了 单,无法下单购买怎么回事,老是 下 不了 单,支付为什么显示失败,1.0,老是 下 不了 单,支付为什么显示失败,0.69,支付为什么显示失败
怎么 用不了 任性付,任性贷显示账户不存在,任性付 怎么 用不了,为什么无法使用任性付,1.0,任性付 怎么 用不了,为什么无法使用任性付,1.0,为什么无法使用任性付
双卡双待 是什么,双卡双待单通是什么意思,双卡双待 是什么,手机双卡多模跟双卡双待的有什么区别,1.0,双卡双待 是什么,手机双卡多模跟双卡双待的有什么区别,0.81,手机双卡多模跟双卡双待的有什么区别
怎么 开 发票,怎么开具发票？,怎么 开 发票,怎么开发票,1.0,怎么 开 发票,怎么开发票,1.0,怎么开发票
手机 发票 开 错,开票信息内容有误,发票 开 错 怎么,发票不清晰、开错发票怎么办,1.0,发票 开 错 怎么,发票不清晰、开错发票怎么办,0.75,发票不清晰、开错发票怎么办
送来 手机 屏幕 怎么 碎,商品有质量或外观问题,屏幕 碎 维修 价格,维修怎么收费,1.0,手机 怎么 投射 到 商品 屏幕,手机如何投屏到电视上,0.43,手机如何投屏到电视上
手机 能 人脸 识别,商品的功能及包装参数,怎么 能 人脸 识别,任性付人脸识别认证失败怎么办,1.0,怎么 能 人脸 识别,任性付人脸识别认证失败怎么办,0.6,任性付人脸识别认证失败怎么办
更改 我 发票 信息,更改发票信息,发票 信息 怎么 更改,如何设置发票信息,1.0,发票 信息 怎么 更改,如何设置发票信息,0.82,如何设置发票信息
电子发票 怎么 下载,电子发票怎么下载,电子发票 要 怎么 下载,电子发票怎么下载（无下载按钮怎么办）,1.0,电子发票 怎么 下载,电子发票怎么下载（无下载按钮怎么办）,1.0,电子发票怎么下载（无下载按钮怎么办）
手机 充电 要 问时间,商品的功能及包装参数,新买的 手机 笔记本 平板 要 充电 问时间,新买的手机、笔记本、平板需要充电多久,1.0,新买的 手机 笔记本 平板 要 充电 问时间,新买的手机、笔记本、平板需要充电多久,0.57,新买的手机、笔记本、平板需要充电多久
iphone 8 怎么 激活,苹果手机怎样激活,激活 故障 怎么 售后,申请退换货,1.0,怎么 激活 易玺,如何激活易玺,0.55,如何激活易玺
能 0元 买 手机,0元购怎么参加,买 都是 0元 安装,怎么参加0元安装,1.0,能 买 手机,有没有活动，价格能优惠吗,0.84,有没有活动，价格能优惠吗
买 小米 手机 返还 券 能 干,返券支持购买什么商品,买 奢侈品 返还 云钻,云钻问题咨询,1.0,小米 手机 买 是否 真货,商品是正品么,0.44,商品是正品么
买 手机 送 云钻 问时间 到账,云钻什么时候到账,问时间 买 多少 送 多少 云钻,云钻问题咨询,1.0,问时间 买 多少 送 多少 云钻,云钻问题咨询,0.6,云钻问题咨询
我 订单 退款 价格 退换货 到 问地点,退款退到哪,我 这笔 价格 退款 退换货 到 问地点,退款什么时候到账,1.0,我 这笔 价格 退款 退换货 到 问地点,退款什么时候到账,0.79,退款什么时候到账
久 退款 没有 成功,多久了怎么还没退款,我 退换货 久 没有 退款,退款什么时候到账,1.0,任性贷 退款 怎么 久 都 没有 成功,任性贷购买商品如何退款,0.67,任性贷购买商品如何退款
忘记 自提 怎么,一直未取货怎么办,忘记 备注,如何给卖家留言或备注,0.516,登录密码 忘记 怎么,怎么找回或修改登录密码,0.42,怎么找回或修改登录密码
退换货 是 上门 取件,退换货是要邮寄还是上门取件,我 退换货 是 问时间 上门 取件,咨询退换货进度,1.0,退换货 上门 取件,咨询退换货进度,0.91,咨询退换货进度
退换货 什么 要求,苏宁退换货规则有哪些,手机 退换货 什么 要求,申请退换货,1.0,要求 退换货,申请退换货,0.86,申请退换货
退换货 生产日期 什么 要求,退换货周期是多久,什么 生产日期,生产日期和保质期是什么时候的,1.0,要求 退换货,申请退换货,0.68,申请退换货
我 手机 维修 质量 太 差,维修技作业技能差,服务 态度 太 差,服务态度太差了,1.0,质量 太 差 我 退换货,申请退换货,0.42,申请退换货
我 买 一部 手机 为什么 扣 款 2次,重复扣款怎么办,银行卡 扣 款 2次,怎么扣了我两笔啊,1.0,我 买 手机 重复 扣 款 我 买 手机 扣 3次,怎么扣了我两笔啊,0.63,怎么扣了我两笔啊
苏宁 租 机 怎么 收费,苏宁租机费用如何收取,是什么 苏宁 租 机,什么是“苏宁租机”,1.0,怎么 用 苏宁 租 机,怎么使用苏宁租机,0.58,怎么使用苏宁租机
苏宁 租 机 到期 怎么 买,苏宁租机到期后买断如何收取费用,苏宁 租 机 到期 机 怎么 弄,苏宁租机到期后还机如何操作,1.0,苏宁 租 机 到期 机 怎么 弄,苏宁租机到期后还机如何操作,0.72,苏宁租机到期后还机如何操作
苏宁 租 机 怎么用,怎么使用苏宁租机,是什么 苏宁 租 机,什么是“苏宁租机”,1.0,是什么 苏宁 租 机,什么是“苏宁租机”,0.6,什么是“苏宁租机”
手机 租 机要 押金,手机租赁是否需要现金押金,能 租 手机,什么是“苏宁租机”,1.0,能 租 手机,什么是“苏宁租机”,0.46,什么是“苏宁租机”
iphone 怎么 补 不了 差价,为什么无法补差,没几天 降 差价 怎么 补,怎么申请价保,1.0,差价 怎么 补,怎么申请价保,0.45,怎么申请价保
手机 互联卡 识别 不了 怎么,互联SIM卡遗失、被窃、损坏、故障，该怎么办,互联卡 插 在 手机 用 不了,我的苏宁互联卡在手机上无法使用,1.0,人脸 识别 一直 失败 怎么,任性付人脸识别认证失败怎么办,0.49,任性付人脸识别认证失败怎么办
iphone 是 原装,商品原装未拆封的么,iphone 8 p 是 原装 的么,商品是正品么,1.0,iphone 8 p 是 原装 的么,商品是正品么,0.53,商品是正品么
有 iphone 充电 线,帮我推荐下手机、配件,有 充电 线 没有 充电 头,商品缺少配件怎么办,1.0,有 充电 线 没有 充电 头,商品缺少配件怎么办,0.58,商品缺少配件怎么办
我 这边 有 上门 安装 的么,提供安装服务吗,我 这边 用 24小时 安装 延误 险,24H极速装什么意思,1.0,上门 安装,怎么预约安装,0.64,怎么预约安装
有 免费 移机,怎么预约清洗/移机/拆机服务,免费 移机,拆机/移机如何收费,1.0,免费 移机,拆机/移机如何收费,0.86,拆机/移机如何收费
问时间 能 到,查询送货动态,急速达 问时间 能 到,什么是急速达,1.0,问时间 能 到,什么时候送,1.0,什么时候送
到货 能 安装,提供安装服务吗,到货 安装,怎么预约安装,1.0,到货 安装,怎么预约安装,0.84,怎么预约安装
物流 安装 一起,怎么预约安装,物流 安装 一起 进行,送货安装是否同步进行,1.0,物流 和 安装 一起,送货安装是否同步进行,0.88,送货安装是否同步进行
送礼 品,赠品配送问题,送礼 品,有没有活动，价格能优惠吗,1.0,送礼 品,有没有活动，价格能优惠吗,1.0,有没有活动，价格能优惠吗
能 效 等级 是 几级,商品的功能及包装参数,商品 能 效 等级,空调能效等级,1.0,商品 能 效 等级,空调能效等级,0.53,空调能效等级
比如 我 现在 拍 问时间 能 到,查询送货动态,现在 拍 下 问时间 到,什么时候送,1.0,现在 拍 下 问时间 能 到,什么时候送,0.72,什么时候送
现在 买 问时间 能到,查询送货动态,现在 订货 问时间 能到,什么时候送,1.0,买 问时间 能到,什么时候送,0.87,什么时候送
买 商品 发票 找 不 到 能 售后 维修,没有发票或保修卡支持保修吗,发票 找 不 到 能 维修,发票丢失或没有保修卡支持保修吗,1.0,发票 找 不 到 能 维修,发票丢失或没有保修卡支持保修吗,0.63,发票丢失或没有保修卡支持保修吗
