q,expect_q,nn_sim_q,nn_stan_q,nn_score,sm_sim_q,sm_stan_q,sm_score,new_stan_q
能 花 分期,有哪些支付方式,能 花 分期,怎么分期付款,1.0,能 花 分期,怎么分期付款,1.0,怎么分期付款
我 手机 是 正品 还是 港版,苹果港版与国产的区别,手机 是 正品 还是,商品是正品么,1.0,手机 是 正品 还是,商品是正品么,0.66,商品是正品么
是 全国联保 三年,保修期是多久,你 是 全国联保,有保修服务吗,1.0,你 是 全国联保,有保修服务吗,0.61,有保修服务吗
买 手机 送 云钻,如何获得云钻,问时间 买 多少 送 多少 云钻,云钻问题咨询,1.0,买 手机 怎么 没有 云钻,云钻问题咨询,0.62,云钻问题咨询
退换货 审核 怎么,退换货申请未通过,要 退换货 审核,咨询退换货进度,1.0,要 退换货 审核,咨询退换货进度,0.77,咨询退换货进度
手机 能 用 券,无敌券可以买什么,商家 商品 能 用 股东 券,股东券怎么使用,1.0,商户 商品 能 用 股东 券,股东券怎么使用,0.54,股东券怎么使用
手机 问时间 能 补 货,无货商品何时到货,怎么 到处 都是 在 补 货,商品是否有货,1.0,净化器 库存 不足 问时间 能 补 货,商品是否有货,0.53,商品是否有货
手机 能 连接 到 商品,手机如何投屏到电视上,商品 能 连接 机顶盒,电视支持有线电视或者机顶盒么,1.0,商品 能 连接 机顶盒,电视支持有线电视或者机顶盒么,0.53,电视支持有线电视或者机顶盒么
买 手机 没有 发票 能 保修,没有发票或保修卡支持保修吗,保修 手机 发票 丢 能 保修,发票丢失或没有保修卡支持保修吗,1.0,保修 手机 发票 丢 能 保修,发票丢失或没有保修卡支持保修吗,0.75,发票丢失或没有保修卡支持保修吗
怎么 下 不了 单,无法下单购买怎么回事,老是 下 不了 单,支付为什么显示失败,1.0,老是 下 不了 单,支付为什么显示失败,0.69,支付为什么显示失败
怎么 用不了 任性付,任性贷显示账户不存在,任性付 怎么 用不了,为什么无法使用任性付,1.0,任性付 怎么 用不了,为什么无法使用任性付,1.0,为什么无法使用任性付
双卡双待 是什么,双卡双待单通是什么意思,双卡双待 是什么,手机双卡多模跟双卡双待的有什么区别,1.0,双卡双待 是什么,手机双卡多模跟双卡双待的有什么区别,0.81,手机双卡多模跟双卡双待的有什么区别
怎么 开 发票,怎么开具发票？,怎么 开 发票,怎么开发票,1.0,怎么 开 发票,怎么开发票,1.0,怎么开发票
手机 发票 开 错,开票信息内容有误,发票 开 错 怎么,发票不清晰、开错发票怎么办,1.0,发票 开 错 怎么,发票不清晰、开错发票怎么办,0.75,发票不清晰、开错发票怎么办
手机 能 人脸 识别,商品的功能及包装参数,怎么 能 人脸 识别,任性付人脸识别认证失败怎么办,1.0,怎么 能 人脸 识别,任性付人脸识别认证失败怎么办,0.6,任性付人脸识别认证失败怎么办
更改 我 发票 信息,更改发票信息,发票 信息 怎么 更改,如何设置发票信息,1.0,发票 信息 怎么 更改,如何设置发票信息,0.82,如何设置发票信息
电子发票 怎么 下载,电子发票怎么下载,电子发票 要 怎么 下载,电子发票怎么下载（无下载按钮怎么办）,1.0,电子发票 怎么 下载,电子发票怎么下载（无下载按钮怎么办）,1.0,电子发票怎么下载（无下载按钮怎么办）
手机 充电 要 问时间,商品的功能及包装参数,新买的 手机 笔记本 平板 要 充电 问时间,新买的手机、笔记本、平板需要充电多久,1.0,新买的 手机 笔记本 平板 要 充电 问时间,新买的手机、笔记本、平板需要充电多久,0.57,新买的手机、笔记本、平板需要充电多久
买 手机 送 云钻 问时间 到账,云钻什么时候到账,问时间 买 多少 送 多少 云钻,云钻问题咨询,1.0,问时间 买 多少 送 多少 云钻,云钻问题咨询,0.6,云钻问题咨询
我 订单 退款 价格 退换货 到 问地点,退款退到哪,我 这笔 价格 退款 退换货 到 问地点,退款什么时候到账,1.0,我 这笔 价格 退款 退换货 到 问地点,退款什么时候到账,0.79,退款什么时候到账
退换货 是 上门 取件,退换货是要邮寄还是上门取件,我 退换货 是 问时间 上门 取件,咨询退换货进度,1.0,退换货 上门 取件,咨询退换货进度,0.91,咨询退换货进度
退换货 什么 要求,苏宁退换货规则有哪些,手机 退换货 什么 要求,申请退换货,1.0,要求 退换货,申请退换货,0.86,申请退换货
我 买 一部 手机 为什么 扣 款 2次,重复扣款怎么办,银行卡 扣 款 2次,怎么扣了我两笔啊,1.0,我 买 手机 重复 扣 款 我 买 手机 扣 3次,怎么扣了我两笔啊,0.63,怎么扣了我两笔啊
苏宁 租 机 到期 怎么 买,苏宁租机到期后买断如何收取费用,苏宁 租 机 到期 机 怎么 弄,苏宁租机到期后还机如何操作,1.0,苏宁 租 机 到期 机 怎么 弄,苏宁租机到期后还机如何操作,0.72,苏宁租机到期后还机如何操作
苏宁 租 机 怎么用,怎么使用苏宁租机,是什么 苏宁 租 机,什么是“苏宁租机”,1.0,是什么 苏宁 租 机,什么是“苏宁租机”,0.6,什么是“苏宁租机”
手机 租 机要 押金,手机租赁是否需要现金押金,能 租 手机,什么是“苏宁租机”,1.0,能 租 手机,什么是“苏宁租机”,0.46,什么是“苏宁租机”
iphone 怎么 补 不了 差价,为什么无法补差,没几天 降 差价 怎么 补,怎么申请价保,1.0,差价 怎么 补,怎么申请价保,0.45,怎么申请价保
iphone 是 原装,商品原装未拆封的么,iphone 8 p 是 原装 的么,商品是正品么,1.0,iphone 8 p 是 原装 的么,商品是正品么,0.53,商品是正品么
有 iphone 充电 线,帮我推荐下手机、配件,有 充电 线 没有 充电 头,商品缺少配件怎么办,1.0,有 充电 线 没有 充电 头,商品缺少配件怎么办,0.58,商品缺少配件怎么办
有 免费 移机,怎么预约清洗/移机/拆机服务,免费 移机,拆机/移机如何收费,1.0,免费 移机,拆机/移机如何收费,0.86,拆机/移机如何收费
到货 能 安装,提供安装服务吗,到货 安装,怎么预约安装,1.0,到货 安装,怎么预约安装,0.84,怎么预约安装
物流 安装 一起,怎么预约安装,物流 安装 一起 进行,送货安装是否同步进行,1.0,物流 和 安装 一起,送货安装是否同步进行,0.88,送货安装是否同步进行
送礼 品,赠品配送问题,送礼 品,有没有活动，价格能优惠吗,1.0,送礼 品,有没有活动，价格能优惠吗,1.0,有没有活动，价格能优惠吗
能 效 等级 是 几级,商品的功能及包装参数,商品 能 效 等级,空调能效等级,1.0,商品 能 效 等级,空调能效等级,0.53,空调能效等级
比如 我 现在 拍 问时间 能 到,查询送货动态,现在 拍 下 问时间 到,什么时候送,1.0,现在 拍 下 问时间 能 到,什么时候送,0.72,什么时候送
现在 买 问时间 能到,查询送货动态,现在 订货 问时间 能到,什么时候送,1.0,买 问时间 能到,什么时候送,0.87,什么时候送
买 商品 发票 找 不 到 能 售后 维修,没有发票或保修卡支持保修吗,发票 找 不 到 能 维修,发票丢失或没有保修卡支持保修吗,1.0,发票 找 不 到 能 维修,发票丢失或没有保修卡支持保修吗,0.63,发票丢失或没有保修卡支持保修吗
你 有 能 任性贷,有哪些支付方式,你 有 任性贷 业务,任性贷是什么,1.0,你 有 任性贷 业务,任性贷是什么,0.6,任性贷是什么
现在 拍 问时间 能 发货,什么时候送,现在 拍 问时间 发货,下单多久发货,1.0,现在 拍 问时间 发货,下单多久发货,0.91,下单多久发货
货 送来 是 安装,怎么预约安装,是 货 到 安装,送货安装是否同步进行,1.0,是 货 到 安装,送货安装是否同步进行,0.69,送货安装是否同步进行
不是 有 券 问地点 领,有没有活动，价格能优惠吗,券 问地点 领,在哪里领券,1.0,券 问地点 领,在哪里领券,0.8,在哪里领券
现在 拍 问时间 发货,什么时候送,现在 拍 问时间 发货,下单多久发货,1.0,现在 拍 问时间 发货,下单多久发货,1.0,下单多久发货
商品 是 苏宁 保修,保修期是多久,苏宁 自营 保修 政策 是 怎么,如何预约维修,1.0,苏宁 保修 一年,如何预约维修,0.58,如何预约维修
问时间 能 到货,无货商品何时到货,南京 问时间 能 到货,什么时候送,1.0,问时间 问时间 能 到货,什么时候送,0.85,什么时候送
商品 能 除湿,商品的功能及包装参数,商品 能 买 几台,可以买多少,0.0,商品 能 买 几台,可以买多少,0.47,可以买多少
你 是 免费 安装,安装如何收费,你 免费 安装 是 骗人,安装乱收费怎么办,1.0,你 免费 安装 是 骗人,安装乱收费怎么办,0.91,安装乱收费怎么办
安装 要 加 价格,怎么预约安装,安装 工具 要 另外 加 价格,安装如何收费,1.0,安装 工具 要 另外 加 价格,安装如何收费,0.82,安装如何收费
商品 质保 几年,保修期是多久,美的 商品 质保 问时间,商品的功能及包装参数,1.0,美的 商品 质保 问时间,商品的功能及包装参数,0.48,商品的功能及包装参数
几点 到,查询送货动态,几点 到,什么时候送,1.0,几点 到,什么时候送,1.0,什么时候送
有 电子发票,顾客下单无电子发票选项，怎么申请？,电子发票 问时间 才 有,电子发票怎么下载（无下载按钮怎么办）,1.0,电子发票,电子发票怎么下载（无下载按钮怎么办）,0.68,电子发票怎么下载（无下载按钮怎么办）
我 安装 是 免费 还是 收费,安装如何收费,免费 安装 怎么 收费,安装乱收费怎么办,1.0,免费 安装 怎么 收费,安装乱收费怎么办,0.76,安装乱收费怎么办
商品 怎么 还不 来 安装,怎么预约安装,怎么 还不 来 安装,安装为什么一直没来呢,1.0,怎么 还不 来 安装,安装为什么一直没来呢,0.79,安装为什么一直没来呢
是 全国联保 撒,商品是正品么,你 是 全国联保,有保修服务吗,1.0,你 是 全国联保,有保修服务吗,0.62,有保修服务吗
有 全国联保,商品是正品么,你 是 全国联保,有保修服务吗,1.0,你 是 全国联保,有保修服务吗,0.43,有保修服务吗
问时间 负责 换,申请退换货,是否 问时间 负责 换,商品是30天退货，365天换货吗,1.0,问时间 负责 换,商品是30天退货，365天换货吗,1.0,商品是30天退货，365天换货吗
去 店 买 价格 一样,苏宁易购和苏宁门店价格一样吗？,商品 店 价格 一样,门店与线上活动是否一样,1.0,要是 去 店 买 和 在 app 买 价格 是 一样 的么,门店与线上活动是否一样,0.67,门店与线上活动是否一样
能 上门 安装,提供安装服务吗,能 上门 安装,怎么预约安装,1.0,能 上门 安装,怎么预约安装,1.0,怎么预约安装
问时间 买 问时间 能 物流,什么时候送,买 东西 能否 问时间 物流,怎么更改送货时间,1.0,买 东西 能否 问时间 物流,怎么更改送货时间,0.79,怎么更改送货时间
问时间 能 有货,无货商品何时到货,问时间 能 有货,商品是否有货,1.0,问时间 能 有货,商品是否有货,1.0,商品是否有货
苏宁 不能用 支付宝,支付宝可以支付吗,能 不能用 支付宝,有哪些支付方式,1.0,能 不能用 支付宝,有哪些支付方式,0.62,有哪些支付方式
我 要 退换货 一份,申请退换货,我 要 退换货,申请换货,1.0,我 要 退换货,申请换货,0.82,申请换货
满 199元 降 60 有,有没有活动，价格能优惠吗,买 满 怎么 没有 降,为什么参加满减没有减少,1.0,满 100 降 50 满 怎么 没有 降,为什么参加满减没有减少,0.65,为什么参加满减没有减少
我 退换货,申请退换货,我 退换货,如何申请退货,1.0,我 退换货,如何申请退货,1.0,如何申请退货
赠品 都 有货,赠品配送问题,店 有货 有 赠品,门店与线上活动是否一样,1.0,店 有货 有 赠品,门店与线上活动是否一样,0.61,门店与线上活动是否一样
我 都 没有 到 为什么 现实 是 签收,买家没有签收但物流跟踪显示已签收，怎么办？,我 没有 到 物流 为什么 说 签收,为什么未收货却显示送货完成了,1.0,我 没有 到 物流 为什么 说 签收,为什么未收货却显示送货完成了,0.54,为什么未收货却显示送货完成了
怎么 没有 到,查询送货动态,没有 按时 到 怎么,为什么还没送到,1.0,没有 按时 到 怎么,为什么还没送到,0.77,为什么还没送到
怎么 找 你 售后,申请售后,找 售后 是否 找 你 苏宁,如何预约维修,1.0,找 售后 是否 找 你 苏宁,如何预约维修,0.72,如何预约维修
物流 问时间 到,查询送货动态,我 物流 问时间 到,什么时候送,1.0,我 物流 问时间 到,什么时候送,0.85,什么时候送
是 问地点 发货,下单多久发货,商家 是 问地点 发货,从哪里发货,1.0,是 问地点 发货,从哪里发货,1.0,从哪里发货
支付宝 不能 买,支付宝可以支付吗,app 怎么 不能 支付宝 买,支持支付宝或微信支付吗,1.0,app 怎么 不能 支付宝 买,支持支付宝或微信支付吗,0.77,支持支付宝或微信支付吗
到 呼和浩特市 问时间,查询送货动态,买 到 手机 到 问时间,什么时候送,1.0,问时间 到,什么时候送,0.77,什么时候送
我 退换货,申请退换货,我 退换货,如何申请退货,1.0,我 退换货,如何申请退货,1.0,如何申请退货
我们 买 洗发水 不是 送 小样,赠品配送问题,怎么 送 不是 我 买,商品送错或漏送怎么办,1.0,怎么 送 不是 我 买,商品送错或漏送怎么办,0.45,商品送错或漏送怎么办
买 两件 是 送 两个 沐浴露,赠品配送问题,买 两件 怎么 只 送 一件,商品送错或漏送怎么办,1.0,买 两件 怎么 只 送 一件,商品送错或漏送怎么办,0.46,商品送错或漏送怎么办
我 是 苏宁,商品是自营的么,苏宁 互联 是 苏宁 我,苏宁互联是苏宁自己的吗,1.0,苏宁 互联 是 苏宁 我,苏宁互联是苏宁自己的吗,0.64,苏宁互联是苏宁自己的吗
评价 晒图 有 赠品,赠品配送问题,评价 有 赠品,评价有什么奖励,1.0,评价 有 赠品,评价有什么奖励,0.88,评价有什么奖励
问时间 能 发货,下单多久发货,问时间 能 安排 发货,什么时候送,1.0,问时间 能 发货,什么时候送,1.0,什么时候送
订单 查 不到 买 信息,物流单号查不到信息怎么办,订单 信息 怎么 查,怎么查询订单,1.0,订单 信息 怎么 查,怎么查询订单,0.58,怎么查询订单
问时间 发货,下单多久发货,问时间 发货,什么时候送,1.0,问时间 发货,什么时候送,1.0,什么时候送
问时间 有货,无货商品何时到货,问时间 有货,商品是否有货,1.0,问时间 有货,商品是否有货,1.0,商品是否有货
为什么 没有 到,什么时候送,为什么 没有 到,为什么还没送到,1.0,为什么 没有 到,为什么还没送到,1.0,为什么还没送到
我 没有 到 为什么 签收,买家没有签收但物流跟踪显示已签收，怎么办？,我 没有 到 物流 为什么 说 签收,为什么未收货却显示送货完成了,1.0,我 没有 到 物流 为什么 说 签收,为什么未收货却显示送货完成了,0.7,为什么未收货却显示送货完成了
麻烦 退款,退款什么时候到账,麻烦 同意 退款,咨询退换货进度,1.0,麻烦 同意 退款,咨询退换货进度,0.77,咨询退换货进度
我 物流 问时间 到,查询送货动态,我 物流 问时间 到,什么时候送,1.0,我 物流 问时间 到,什么时候送,1.0,什么时候送
问时间 有货,无货商品何时到货,问时间 有货,商品是否有货,1.0,问时间 有货,商品是否有货,1.0,商品是否有货
没有 发票,怎么开发票,没有 发票,怎么没有发票,1.0,没有 发票,怎么没有发票,1.0,怎么没有发票
孕妇 用,商品的功能及包装参数,用 圆通,送货用什么快递,1.0,用 天天,送货用什么快递,0.43,送货用什么快递
什么 颜色,商品的功能及包装参数,魅族pro5 什么 颜色 有货,商品是否有货,1.0,魅族pro5 什么 颜色 有货,商品是否有货,0.47,商品是否有货
怎么 免运费,运费多少,怎么 免运费,运费券怎么领取,1.0,怎么 免运费,运费券怎么领取,1.0,运费券怎么领取
孕妇 用,商品的功能及包装参数,用 圆通,送货用什么快递,1.0,用 天天,送货用什么快递,0.43,送货用什么快递
我 找 售后,申请售后,售后 找 谁,如何预约维修,1.0,售后 找 谁,如何预约维修,0.77,如何预约维修
能 查 物流,查询送货动态,能 帮忙 查 物流,查询送货,1.0,能 帮忙 查 物流,查询送货,0.88,查询送货
问时间 有货,无货商品何时到货,问时间 有货,商品是否有货,1.0,问时间 有货,商品是否有货,1.0,商品是否有货
怎么 缺货,无货商品何时到货,怎么 缺货,怎么提示没有货,1.0,怎么 缺货,怎么提示没有货,1.0,怎么提示没有货
我 货 没收到,查询送货动态,我 货 怎么 没收到,为什么还没送到,1.0,我 货 怎么 没收到,为什么还没送到,0.84,为什么还没送到
问时间 发货,下单多久发货,问时间 发货,什么时候送,1.0,问时间 发货,什么时候送,1.0,什么时候送
问时间 发货,查询送货动态,问时间 发货,什么时候送,1.0,问时间 发货,什么时候送,1.0,什么时候送
拼团 能 取消 不,更改拼团状态,拼团 能 取消,乐拼购可以申请退货么,1.0,拼团 能 取消,乐拼购可以申请退货么,0.99,乐拼购可以申请退货么
买 可乐 故障,申请售后,我 买 商品 故障,如何预约维修,1.0,买 车子 一个月 故障,如何预约维修,0.54,如何预约维修
缺货 问时间 能 到货,无货商品何时到货,缺货 商品 问时间 能 到货,商品是否有货,1.0,缺货 商品 问时间 能 到货,商品是否有货,0.88,商品是否有货
不免 运费,运费多少,运费,怎么退运费,1.0,运费,怎么退运费,0.82,怎么退运费
买 问时间 物流,下单多久发货,问时间 买 问时间 物流 安装,什么时候送,1.0,现在 买 问时间 物流,什么时候送,0.87,什么时候送
有 内存卡 没有,商品的功能及包装参数,有 手机 内存卡 销售,帮我推荐下手机、配件,1.0,有 手机 内存卡 销售,帮我推荐下手机、配件,0.41,帮我推荐下手机、配件
能 微信 支付,微信可以支付吗,能 支付宝 微信 支付,支持支付宝或微信支付吗,1.0,微信 能 支付,支持支付宝或微信支付吗,1.0,支持支付宝或微信支付吗
我 买 商品 怎么 没有 发货,为什么还没送到,我 买 商品 发货,查询送货,1.0,我 买 商品 发货,查询送货,0.79,查询送货
订单 确认 到 申请 售后 问地点,申请售后,问地点 申请 售后,如何预约维修,1.0,问地点 申请 售后,如何预约维修,0.64,如何预约维修
我 买 海信 商品 安装 时 旧 海信 商品 师傅 能 免费 帮忙 拆 下,拆机/移机如何收费,我 买 海信 商品 安装 是 免费,安装如何收费,1.0,我 买 海信 商品 安装 是 免费,安装如何收费,0.48,安装如何收费
退换货,申请退换货,退换货,申请换货,1.0,退换货,申请换货,1.0,申请换货
买 负责 安装,怎么预约安装,负责 安装,提供安装服务吗,1.0,负责 安装,提供安装服务吗,0.73,提供安装服务吗
支付 完 价格 怎么 找 不到 订单,怎么查询订单,订单 支付 完 找 不 到,支付了为什么订单不显示,1.0,订单 支付 完 找 不 到,支付了为什么订单不显示,0.57,支付了为什么订单不显示
退换货 要 上门 取件,退换货是要邮寄还是上门取件,退换货 上门 取件,咨询退换货进度,1.0,退换货 上门 取件,咨询退换货进度,0.91,咨询退换货进度
发票 信息 填 错 怎么,发票信息是否可以更改,怎么 填 发票 信息,如何设置发票信息,1.0,怎么 填 发票 信息,如何设置发票信息,0.83,如何设置发票信息
商品 不 制冷,售后维保地址电话,商品 不 制冷,申请售后,1.0,商品 不 制冷,申请售后,1.0,申请售后
要 江门 万达 苏宁 苏宁 联系,怎么查门店的地址电话,我 要 苏宁 联系,苏宁客服电话是多少,1.0,我 要 苏宁 联系,苏宁客服电话是多少,0.69,苏宁客服电话是多少
奥普浴 霸 预售 问时间 能 到货,无货商品何时到货,预计 问时间 能 到货,什么时候送,1.0,问时间 问时间 能 到货,什么时候送,0.54,什么时候送
发票 问时间 能 开,怎么开发票,发票 问时间 能 开,怎么没有发票,1.0,发票 问时间 能 开,怎么没有发票,1.0,怎么没有发票
问地点 自提,在哪里自提,问地点 自提,怎么自提,1.0,问地点 自提,怎么自提,1.0,怎么自提
发票 信息 开 错,发票信息是否可以更改,发票 开 错 怎么,发票不清晰、开错发票怎么办,1.0,发票 开 错 怎么,发票不清晰、开错发票怎么办,0.75,发票不清晰、开错发票怎么办
售后 怎么 保障,售后维保地址电话,售后 有 保障,有保修服务吗,1.0,售后 有 保障,有保修服务吗,0.76,有保修服务吗
我 现在 拍 下 问时间 午 那样 能 取 到货,下单多久发货,问时间 拍 问时间 能 到货,什么时候送,1.0,对 我 都 拍 下 勒 问时间 能 到货,什么时候送,0.57,什么时候送
我 维修 商品 师傅 联系,如何预约维修,有 维修 师傅 联系,咨询维保进度,1.0,有 维修 师傅 联系,咨询维保进度,0.73,咨询维保进度
能 上门 安装,什么时候上门安装,能 上门 安装,怎么预约安装,1.0,能 上门 安装,怎么预约安装,1.0,怎么预约安装
问时间 248 我 团 没有 拼 成 问时间 268,怎么申请价保,拼团 没有 人 加入 我 团,如果参团人数不足怎么办,1.0,问时间 没有 人参 我 团 算 失败,如果参团人数不足怎么办,0.47,如果参团人数不足怎么办
自提 到 那里 提,自提点在哪,我 自提 我 怎么 提,怎么自提,1.0,自提 怎么 提,怎么自提,0.65,怎么自提
还是 没有 说 物流 时,查询送货动态,物流 时 都 没有,什么时候送,1.0,物流 时 都 没有,什么时候送,0.6,什么时候送
我 退换货,申请退换货,我 退换货,如何申请退货,1.0,我 退换货,如何申请退货,1.0,如何申请退货
有 人 和 你 拼团 能 取消 订单,更改拼团状态,有 拼团 取消 和 上面 已经 买 人 拼团 能 取消 下,乐拼购可以申请退货么,1.0,有 拼团 取消 和 上面 已经 买 人 拼团 能 取消 下,乐拼购可以申请退货么,0.57,乐拼购可以申请退货么
现在 拼团 是 不能 取消,更改拼团状态,我 是 拼团 现在 取消 问地点 弄,乐拼购可以申请退货么,1.0,我 是 拼团 现在 取消 问地点 弄,乐拼购可以申请退货么,0.54,乐拼购可以申请退货么
我 地区 说 缺货,无货商品何时到货,7 p 说 我 所在 地区 缺货,商品是否有货,1.0,7 p 说 我 所在 地区 缺货,商品是否有货,0.77,商品是否有货
麻烦 催 退款,多久了怎么还没退款,能 催 退款,退款什么时候到账,1.0,能 催 退款,退款什么时候到账,0.69,退款什么时候到账
你是 自营,商品是自营的么,你是 第三方 不是 自营,送货用什么快递,1.0,你是 第三方 不是 自营,送货用什么快递,0.63,送货用什么快递
怎么 到 现在 没有 退款,多久了怎么还没退款,怎么 到 现在 没有 退款,退款什么时候到账,1.0,怎么 到 现在 没有 退款,退款什么时候到账,1.0,退款什么时候到账
发票 他 开 条目 是什么,怎么开发票,怎么 我 开 发票 是什么,我开的什么发票,0.032,我 当时 开 是什么 发票,我开的什么发票,0.69,我开的什么发票
锅 出现 故障 怎么 处理,申请售后,电源 故障 怎么 处理,如何预约维修,1.0,电源 故障 怎么 处理,如何预约维修,0.57,如何预约维修
我 怎么 看 不 见 物流 动态,订单没有物流信息,你 买 怎么 不 见 物流,什么时候送,1.0,你 买 怎么 不 见 物流,什么时候送,0.46,什么时候送
问时间 买 比 问时间 便宜,商品价格多少钱,会 比 问时间 便宜,有没有活动，价格能优惠吗,1.0,买 比 便宜 一些,有没有活动，价格能优惠吗,0.65,有没有活动，价格能优惠吗
现在 电饭锅 故障 在 保修期,保修期是多久,我 手机 故障 在 保修期 内,如何预约维修,1.0,我 手机 故障 在 保修期 内,如何预约维修,0.57,如何预约维修
售后 怎么 弄,申请售后,售后 怎么 弄,如何预约维修,1.0,售后 怎么 弄,如何预约维修,1.0,如何预约维修
怎么 贵,商品价格多少钱,怎么 贵,有没有活动，价格能优惠吗,1.0,怎么 贵,有没有活动，价格能优惠吗,1.0,有没有活动，价格能优惠吗
商品 满足 问时间 无理由 退换货 是什么,怎么参加无理由退货,我 是 无理由 退换货,申请退换货,1.0,是 无理由 退换货,申请退换货,0.61,申请退换货
通过 到 联系 能 怎么 物流,查询送货动态,怎么 物流 联系,查询送货,1.0,怎么 物流 联系,查询送货,0.72,查询送货
到 怎么 用,商品的功能及包装参数,到 怎么 是 非正品 有 用 痕迹,收到怎么是二手的有使用痕迹,1.0,到 怎么 是 非正品 有 用 痕迹,收到怎么是二手的有使用痕迹,0.53,收到怎么是二手的有使用痕迹
只有 说明书 和 工具 保修卡 没有,商品缺少配件怎么办,商品 怎么 没有 保修卡 和 用 说明书,商品的功能及包装参数,1.0,商品 怎么 没有 保修卡 和 用 说明书,商品的功能及包装参数,0.5,商品的功能及包装参数
微信 能 支付,微信可以支付吗,能 支付宝 微信 支付,支持支付宝或微信支付吗,1.0,微信 能 支付,支持支付宝或微信支付吗,1.0,支持支付宝或微信支付吗
为什么 不能 拼团,为什么拼团失败,我 是 最新 版本 为什么 不能 拼团,怎么参加乐拼购,1.0,我 是 最新 版本 为什么 不能 拼团,怎么参加乐拼购,0.53,怎么参加乐拼购
我 是 新会员 不能 开 店 优惠,有没有活动，价格能优惠吗,新会员 什么 优惠,新人券怎么领取,1.0,我 是 新会员 怎么 领 优惠 券,新人券怎么领取,0.41,新人券怎么领取
保修 联系 谁,申请售后,保修 联系 是 多少,售后维保地址电话,1.0,保修 联系 是 多少,售后维保地址电话,0.62,售后维保地址电话
能 发 韵达 物流 百 世 汇 通,发货页面没有我要的快递公司，怎么办？,能 发 百 世 汇 通 物流,送货用什么快递,1.0,能 发 百 世 汇 通 物流,送货用什么快递,0.85,送货用什么快递
我 物流 问地点,查询送货动态,我 不知道 问地点 物流,是送货上门吗,1.0,我 不知道 问地点 物流,是送货上门吗,0.84,是送货上门吗
问时间 发货 给我,查询送货动态,问时间 发货 给我,下单多久发货,1.0,问时间 发货 给我,下单多久发货,1.0,下单多久发货
我 建 团 取消 行,更改拼团状态,我 参 团 成功 但是 我 能 取消,乐拼购可以申请退货么,1.0,我 参 团 成功 但是 我 能 取消,乐拼购可以申请退货么,0.46,乐拼购可以申请退货么
有 维修,售后维保地址电话,有 故障 怎么 维修,如何预约维修,1.0,能 有 维修 服务,如何预约维修,0.64,如何预约维修
退换货 收 几块 上门取货 费,退换货有取件费用吗,退换货 会 安排 师傅 上门取货,咨询退换货进度,1.0,退换货 问时间 上门取货,咨询退换货进度,0.47,咨询退换货进度
能 开 正规 发票,怎么开发票,你 开 发票 是 正规 发票,苏宁开具的发票是真的吗,1.0,你 开 发票 是 正规 发票,苏宁开具的发票是真的吗,0.75,苏宁开具的发票是真的吗
发货 问时间,查询送货动态,问时间 能 发货 要 问时间,什么时候送,1.0,问时间 发货,什么时候送,1.0,什么时候送
乌鲁木齐 苏宁 七一 酱园 店 联系 多少,怎么查门店的地址电话,苏宁 互联 联系 多少,苏宁互联服务号码,1.0,苏宁 互联 联系 多少,苏宁互联服务号码,0.54,苏宁互联服务号码
扫地机器人 送 虚拟 墙 没有 能 送,赠品配送问题,没有 电梯 能 送,是送货上门吗,1.0,没有 电梯 能 送,是送货上门吗,0.44,是送货上门吗
苏宁 报修 联系 多少,售后维保地址电话,苏宁 互联 联系 多少,苏宁互联服务号码,1.0,苏宁 互联 联系 多少,苏宁互联服务号码,0.67,苏宁互联服务号码
